"$K_D1 []","Ra_ellipse [] - Freq='0.05GHz' Phase='0deg'","Ra_port [] - Freq='0.05GHz' Phase='0deg'"
14.17,0.00654160797655409,0.00697478669424194
48.161052631579,0.0525495556265921,0.0554169273409279
82.1521052631579,0.11339561167037,0.119936180352612
116.143157894737,0.181923235020797,0.19240761003587
150.134210526316,0.241138377874927,0.251627663448857
184.125263157895,0.327317630933673,0.349943482730996
218.116315789474,0.386640675726943,0.412747488992991
252.107368421053,0.471462250145906,0.501509543391334
286.098421052632,0.548031039272878,0.583504580875804
320.089473684211,0.65366392295428,0.704591380350946
354.08052631579,0.72460182957793,0.775121326964222
388.071578947368,0.857909652572164,0.910455645722245
422.062631578947,0.915596247978587,0.974028614683488
456.053684210526,0.999845777809481,1.0710447045448
490.044736842105,1.07758816121556,1.14594216269568
524.035789473684,1.18417931432942,1.26127703851257
558.026842105263,1.24674888587684,1.32897610541043
592.017894736842,1.35911897517464,1.45007454711657
